epoch,lr,train_loss_total,train_loss_quant,train_loss_physics,train_mae,val_loss_total,val_loss_quant,val_loss_physics,val_mae,best_val_mae,epoch_seconds
0,0.0009990143508499217,46.32530761126535,0.07818841851294366,0.35124756141891617,0.07826280105224229,0.1449167099263933,0.0853619913260142,0.2977735980793282,0.08551192703070463,0.08551192703070463,12.1
1,0.0009960612933065818,27.08525352639961,0.05382294253671509,0.3294231220040631,0.05390942662845893,0.13763821765228554,0.07866778980802606,0.29485213005984273,0.07867375203856715,0.07867375203856715,11.48
2,0.00099115248173898,20.134878062565736,0.04912468028102881,0.3354675910232861,0.04907913073635304,0.135117350353135,0.07685709463225471,0.29130127915629633,0.07635932768936511,0.07635932768936511,11.4
3,0.0009843072889837512,16.66772058589882,0.04743906520555567,0.34442012808119044,0.047447418932971844,0.1247848998617243,0.06607941229034353,0.2935274327242816,0.0684435056315528,0.0684435056315528,11.51
4,0.0009755527298894294,14.311581030406685,0.04559850173377138,0.3545014577030485,0.04555846268413933,0.1280319834197009,0.06351584438924436,0.32258068919181826,0.06285849511623383,0.06285849511623383,11.08
5,0.0009649233547011816,12.445875758904988,0.045785810947508575,0.3650371543272399,0.0457885673437934,0.13657668122538813,0.07776594636616883,0.29405366601767363,0.07816661143744433,0.06285849511623383,10.93
6,0.0009524611127067769,10.873930215690988,0.04646387546260549,0.3617450350194067,0.04647508939291001,0.1351160963376363,0.07295340956361206,0.31081342895825703,0.07219326159468403,0.06285849511623383,10.98
7,0.0009382151866819099,9.513729102977338,0.04595044209622411,0.36641553042511854,0.046017835968331616,0.11413515011469523,0.05662734287756461,0.2875390414838438,0.05721390192155485,0.05721390192155485,11.71
8,0.0009222417987882566,8.32715390450019,0.04519496601935659,0.3671287275069117,0.04525803079689684,0.1281089723110199,0.07454852875736025,0.26780221727159287,0.07456339470766209,0.05721390192155485,14.96
9,0.0009046039886902864,7.290177028926666,0.04520543706939392,0.37218676558980945,0.0452282401225363,0.1334965897930993,0.06349994313937646,0.3499832237208331,0.06257835223718926,0.05721390192155485,15.48
10,0.0008853713647665069,6.378479513997667,0.04645264570490023,0.37484255275847767,0.04652667100941723,0.143636734618081,0.07393353526239042,0.3485159862924505,0.07150077565952584,0.05721390192155485,12.08
11,0.0008646198293969952,5.5793434169669816,0.045938447499596906,0.37422526659858524,0.04604682097919714,0.12031606325396785,0.05652730073089953,0.31894380273642364,0.0565150867457743,0.0565150867457743,10.29
12,0.0008424312794113801,4.876064565414512,0.04481778336545422,0.3707842397610298,0.044956331389231566,0.107916494652077,0.05273695268012859,0.27589769782843415,0.05227530984966843,0.05227530984966843,10.52
13,0.0008188932828794706,4.2703621652069925,0.045586302049634236,0.37624967186793623,0.04568348982890423,0.13760752015643649,0.07666652831766341,0.3047049654854668,0.07527367020094836,0.05227530984966843,11.52
14,0.0007940987335200906,3.7357468859508876,0.04512412936905068,0.37840348507434113,0.04525201522794328,0.15245637341781898,0.08620632881367649,0.33125022075794364,0.08474554645794409,0.05227530984966843,11.42
15,0.0007681454840920089,3.2731353402354633,0.04544619584694423,0.37256044149398804,0.04561131242199548,0.12816686232884725,0.06575167686850936,0.31207592045819316,0.06504279844186923,0.05227530984966843,9.76
16,0.0007411359602138069,2.873925193864118,0.046082819699608535,0.37687979191270576,0.04623924215872625,0.12508644858996074,0.06013028240866131,0.3247808288644861,0.060142609863369556,0.05227530984966843,9.8
17,0.0007131767561367538,2.5259208725466014,0.045786182828170735,0.37305214704709605,0.04602195022276418,0.12010686861144172,0.056497313523734057,0.31804776191711426,0.05644667529397541,0.05227530984966843,9.91
18,0.0006843782140659967,2.2278443967450237,0.046347961654313916,0.38313609784555985,0.04659486995313007,0.13776995440324147,0.07876045096803594,0.2950475136439005,0.07799502235871775,0.05227530984966843,9.89
19,0.0006548539886902863,1.968188335347566,0.04617727444642164,0.37899852829170344,0.0464441970695576,0.13844049087277166,0.06866858369774288,0.34885950839077984,0.06772450854380925,0.05227530984966843,9.42
20,0.0006247205986388449,1.7477968462746818,0.04729456616042599,0.3840282121848308,0.047593865670114664,0.13066387010945213,0.06402165037062434,0.33321108641447844,0.06367144835767923,0.05227530984966843,9.45
21,0.0005940969666355696,1.5543141083112986,0.046989832057636245,0.38050771079474033,0.04738708470059641,0.12240524424446954,0.06039881766946228,0.3100321169252749,0.06042799546762749,0.05227530984966843,9.52
22,0.0005631039501653701,1.3890078513097446,0.04732825577466903,0.37695089810323973,0.047743721165354865,0.13085480310298778,0.06410708024545952,0.33373859855863786,0.06425159788793988,0.05227530984966843,9.55
23,0.0005318638645048921,1.2492461486467092,0.04847044140787252,0.38258198402447,0.04892656885046826,0.11863447758886549,0.05831826307155468,0.30158107700171294,0.0577199324965477,0.05227530984966843,9.82
24,0.0005005,1.1267520184224848,0.048708885338828375,0.3797390678927998,0.04921226650295726,0.11553200836534853,0.05425156790901114,0.30640219030556853,0.054629658383351785,0.05227530984966843,9.76
25,0.00046913613549510796,1.024399198532972,0.04849263028060399,0.3867988061586823,0.0490359263488963,0.13572650297924324,0.0754611806737052,0.3013265973991818,0.07424310081534916,0.05227530984966843,9.32
26,0.00043789604983463003,0.9356667906533884,0.04949707079513858,0.3903867361977868,0.05007274825692972,0.12252413343500208,0.06218873659769694,0.3016769826412201,0.06186470891590472,0.05227530984966843,9.41
27,0.00040690303336443054,0.8590816557949568,0.049978173205153444,0.3911656484486769,0.05057190210666347,0.12331656096158204,0.05853939668999778,0.3238858161149202,0.058769816601717914,0.05227530984966843,9.13
